Team,Rate,PPG,Pass,Run,EPA,YPP,Success,Explosive,SOS
Detroit Lions,93.4,33.2,88.9,88.4,0.16,6.2,49.6,11.5,76.1
Baltimore Ravens,93.3,30.5,93.3,93.2,0.2,6.6,49.4,12,77
Buffalo Bills,88.9,30.9,87.5,82.6,0.19,5.8,47.9,9.5,73.4
Washington Commanders,86.4,28.5,80.2,84.8,0.14,5.5,48.2,8.5,74.5
Tampa Bay Buccaneers,85.1,29.5,82.7,84.9,0.13,6,49.4,10.2,73.1
Green Bay Packers,83.9,27.1,84.7,81.8,0.08,5.9,44.8,11.7,77
Cincinnati Bengals,83.1,27.8,83.3,74.1,0.11,5.6,48,7.3,76.1
Arizona Cardinals,81.5,23.5,79.4,83,0.07,5.6,47.4,9.9,74.8
Philadelphia Eagles,80.8,27.2,78.6,85.2,0.11,5.6,45.3,10.6,71.5
San Francisco 49ers,79.5,22.9,80.8,75.9,0.06,6,45.9,10.4,76.1
Atlanta Falcons,78.6,22.9,75.6,85.5,0.04,5.6,48.4,9.7,75.2
Kansas City Chiefs,78.6,22.6,78.5,76.6,0.07,5,47.6,5.8,76.1
Los Angeles Chargers,78.2,23.6,79.6,70,0.05,5.3,42.4,9.2,74.7
Minnesota Vikings,77.7,25.4,80.2,70.5,0.04,5.4,46.2,9.5,75.2
Los Angeles Rams,75.6,21.6,80.1,76.5,0.03,5.3,47.3,7.9,76.5
New York Jets,73.5,19.9,73,74.1,0,5,43.1,8.7,75.4
Denver Broncos,72.7,25,75.5,74.2,0.01,5.1,42.8,9,74.7
Pittsburgh Steelers,72.4,22.4,74.8,70.4,-0.03,4.9,40.6,9.8,75.3
Miami Dolphins,72,20.3,73.8,60.1,-0.04,4.9,44.3,7.3,73.1
Seattle Seahawks,71.8,22.1,73.4,68.2,-0.02,5.2,44.3,8.2,74.9
Indianapolis Colts,71.4,22.2,68.1,76.8,-0.05,5.3,40.6,10.2,76
Jacksonville Jaguars,71.1,18.8,72.5,76.6,-0.02,5.1,41.6,9.6,77.1
Carolina Panthers,69.3,20.1,67.7,78.7,-0.04,4.9,41.8,7.5,74.8
New Orleans Saints,68.9,19.9,66.2,76.8,-0.06,5,40.6,8.4,73.6
Houston Texans,68.3,21.9,67.2,66.8,-0.04,5,39.1,8.2,73.8
Dallas Cowboys,66.9,20.6,66.5,72.4,-0.09,4.8,41.4,7.7,74.7
Chicago Bears,66.4,18.2,66.3,66.9,-0.07,4.3,40,5.8,74.8
Las Vegas Raiders,64.4,18.2,66.8,57.5,-0.13,4.7,41,7.1,75.6
New England Patriots,64,17,68.9,63.6,-0.08,4.6,42.6,6.9,74
Tennessee Titans,63.9,18.3,64.5,66.6,-0.1,4.8,40.5,8.3,74.2
New York Giants,62.3,16.1,65.4,71.1,-0.09,4.6,41,6.7,74.7
Cleveland Browns,55.8,15.2,55.9,66.2,-0.17,4.4,37.2,5.8,75.8
