Team,Rate,PPG,Pass,Run,EPA,YPP,Success,Explosive,SOS
Seattle Seahawks,94.4,17.2,88.4,92.6,-0.11,4.4,40.1,5.7,76.4
Houston Texans,93.4,17.4,90.4,86,-0.11,4.6,39.5,6.9,77.4
Minnesota Vikings,89.2,19.6,89.5,79.4,-0.08,4.6,41.7,7.4,76.9
Denver Broncos,87.3,18.3,89,83.6,-0.06,4.2,37.7,5.7,73.9
Los Angeles Rams,87.1,20.4,83.6,78.6,-0.07,5,41.9,7.8,76
Jacksonville Jaguars,85.2,19.8,83.8,82.6,-0.08,4.8,42.3,6.6,74.9
Cleveland Browns,84.7,22.3,85,81.4,-0.08,4.7,40.8,8.1,75.6
Los Angeles Chargers,83,20,86.7,78.8,-0.08,4.8,41.6,7.8,73.2
Philadelphia Eagles,82.9,19.1,85.1,76.4,-0.05,4.8,42.6,8.3,77.3
New Orleans Saints,78.6,22.5,79.6,83.2,-0.05,4.8,42,8.1,75.6
New England Patriots,77.9,18.8,73,75.8,-0.04,5,44.9,7.5,71
Kansas City Chiefs,77.6,19.3,73.8,79.6,-0.01,5,44.1,7.3,75
Pittsburgh Steelers,75.5,22.8,75,75.5,0.02,5.3,43.7,8.2,74.7
Carolina Panthers,74.1,22.4,74,73.4,0.06,5.4,44.2,8.3,76.1
Atlanta Falcons,74,23.6,80.2,71.2,0.01,5.1,45.3,8.3,74.8
Las Vegas Raiders,73.5,25.4,72.7,77.6,0.03,4.9,44.8,7.5,74.9
Detroit Lions,73.5,24.3,78.6,73,0.01,5.2,42.5,9.5,75.8
Tampa Bay Buccaneers,73.1,24.2,70.9,82.8,0.01,5.6,45,8.6,74.7
Buffalo Bills,72.8,21.5,81.9,62.8,-0.01,5.1,43,9.6,71.6
San Francisco 49ers,71.8,21.8,65.8,72.4,0.07,5.4,48.2,7.3,75.1
Indianapolis Colts,71.7,24.2,72.9,77.1,0.02,5.2,45.9,8.2,74.6
Baltimore Ravens,71.3,23.4,68.2,79.8,0.02,5.4,44.1,9.7,74.3
Chicago Bears,71.1,24.4,71,67.6,0.04,5.8,47.2,10.6,74.2
Green Bay Packers,69.9,21.2,71.6,74.9,0.04,4.8,45.2,7,74.2
Tennessee Titans,68.1,28.1,63.3,74.9,0.1,5.7,45.3,9.3,75.8
Cincinnati Bengals,67.3,28.9,63.3,62.6,0.12,6.1,47.7,10.4,73.6
Miami Dolphins,67,24.9,63.1,71.4,0.09,5.6,48.3,9.7,74.3
New York Giants,66.4,25.8,73.8,53.8,0.1,5.7,47.3,10.7,75.8
Arizona Cardinals,65,28.7,68,71,0.09,5.6,48.7,9.9,78.6
New York Jets,59.7,29.6,56.6,73.4,0.15,5.5,45.7,10.4,75
Washington Commanders,59.4,26.5,63.4,63.8,0.15,5.9,47.9,9.7,75.2
Dallas Cowboys,53.4,30.1,57.6,63.2,0.16,6,48.7,10.6,73.4
