Team,Off WEPA/play,Def WEPA/play,Off SR,Def SR,Off Pass WEPA,Def Pass WEPA
NE,0.26,0,0.48,0.45,0.44,0.03
GB,0.21,0.01,0.48,0.45,0.4,0.07
LA,0.26,-0.03,0.52,0.42,0.39,0
BUF,0.22,0.03,0.49,0.43,0.34,-0.01
SF,0.17,0.04,0.48,0.48,0.31,0.08
SEA,0.13,-0.08,0.47,0.4,0.29,-0.01
DAL,0.18,0.09,0.47,0.49,0.27,0.11
DET,0.14,0.01,0.45,0.43,0.24,0.03
IND,0.16,0.01,0.47,0.46,0.24,0.06
JAX,0.11,-0.03,0.45,0.42,0.2,0
PHI,0.1,-0.03,0.43,0.43,0.19,0.01
CHI,0.11,0.05,0.46,0.47,0.17,0.07
WAS,0.11,0.09,0.46,0.48,0.17,0.12
TB,0.07,0.01,0.43,0.45,0.16,0.07
DEN,0.09,-0.04,0.44,0.38,0.16,0
ATL,0.08,0.01,0.44,0.45,0.16,0.03
BAL,0.1,0.01,0.45,0.44,0.15,0.06
NYG,0.08,0.09,0.43,0.47,0.14,0.05
HOU,0.04,-0.07,0.42,0.4,0.14,-0.03
KC,0.07,-0.01,0.45,0.44,0.14,0.04
PIT,0.07,0.02,0.44,0.44,0.12,0.03
ARI,0.05,0.05,0.43,0.49,0.12,0.1
CIN,0.07,0.08,0.46,0.48,0.11,0.1
CAR,0.05,0.03,0.44,0.44,0.1,0.05
LAC,0.03,-0.04,0.44,0.42,0.09,-0.01
MIA,0.06,0.05,0.42,0.48,0.09,0.1
NO,-0.01,-0.04,0.42,0.42,0.04,0.03
MIN,-0.03,-0.04,0.43,0.42,-0.04,-0.02
LV,-0.12,0,0.39,0.45,-0.09,0.04
TEN,-0.09,0.05,0.38,0.45,-0.1,0.1
NYJ,-0.09,0.07,0.41,0.46,-0.11,0.14
CLE,-0.14,-0.02,0.35,0.41,-0.16,-0.02
