Team,Rate,Pass,Run
Detroit Lions,87.5,71.5,93.8
Denver Broncos,85.8,92,77.5
Atlanta Falcons,85.2,81.6,86.9
Los Angeles Rams,83.5,79.5,85.9
Kansas City Chiefs,83.1,77.4,78.7
Philadelphia Eagles,81.6,64.1,92.7
Baltimore Ravens,79.4,74.8,82.3
Indianapolis Colts,79.2,75.2,80
Tampa Bay Buccaneers,79.1,84,75.8
Los Angeles Chargers,78.6,77,77.1
Dallas Cowboys,78.3,83.3,72.2
San Francisco 49ers,78.1,75.9,80.3
Buffalo Bills,77,82,74.7
Jacksonville Jaguars,76.7,86.1,67.3
Arizona Cardinals,75.6,78.9,72.2
Pittsburgh Steelers,75.5,67.7,80.2
Washington Commanders,75,74.1,74.2
New York Jets,74.6,78.2,71.6
Miami Dolphins,74.6,77.3,72.5
Carolina Panthers,74.6,75.9,74.8
New Orleans Saints,74.4,78,76.4
Green Bay Packers,74.2,72.7,77.8
Las Vegas Raiders,70.8,76.9,69.7
Chicago Bears,70.1,69.4,73.1
New York Giants,69.4,71.7,69.9
Seattle Seahawks,66.9,68.2,69.8
Cleveland Browns,66.5,74.6,63.3
Minnesota Vikings,66,60.9,72
Cincinnati Bengals,65.5,70.9,60.9
Tennessee Titans,63.9,69,65.2
Houston Texans,63.3,63.9,66.5
New England Patriots,57.9,61.5,59.9
